window,model,epoch,train_loss,validation_mean_daily_macro_auc,validation_mean_daily_extreme_auc,validation_log_loss
1,FCNN,1,0.9241593607608846,0.6144847345562876,0.6031140446277138,0.9178304916876413
1,FCNN,2,0.9174075430592165,0.618994565368978,0.6071354322448926,0.9171100163540103
1,FCNN,3,0.9147957385770532,0.6199556008168982,0.607927038662033,0.9150323682061244
1,FCNN,4,0.9129999857864632,0.6242257888044874,0.6117201349857397,0.9127668573759051
1,FCNN,5,0.9113661937760991,0.6219924017865187,0.6095940033476575,0.9168917712195257
1,FCNN,6,0.909918766305936,0.6236559776631991,0.6111354080267215,0.9155764701896103
1,FCNN,7,0.9089784369563425,0.6267300607092825,0.6138519097213233,0.9146352546622417
1,FCNN,8,0.9078645001973538,0.6246927831858912,0.6116152414857056,0.914234801250483
1,FCNN,9,0.9067741644303531,0.6245023226519907,0.6109946356446103,0.9156507959047885
1,FCNN,10,0.9057652928971297,0.6258041545551553,0.6121634970983072,0.9131490337290458
1,FCNN,11,0.9045697544189478,0.6241250149029941,0.6108956093951833,0.9141227470783176
1,FCNN,12,0.9033854231139682,0.6232592318231571,0.6098585627241955,0.9154141646246923
1,CNN,1,0.927479601182685,0.6136190393232487,0.6021122333201859,0.9183449014818278
1,CNN,2,0.9175315127467477,0.619825054545289,0.6078227033235719,0.9178921741134612
1,CNN,3,0.9150735862207728,0.6224770477260242,0.6102075230837307,0.9140592562149934
1,CNN,4,0.9137404039206094,0.6241206345025944,0.6116284098768731,0.9131829805588666
1,CNN,5,0.91295859040014,0.6246773337603914,0.6120852445483208,0.9166104372620496
1,CNN,6,0.9124234673992687,0.6243025250571125,0.611821055376236,0.9146425860995093
1,CNN,7,0.9120348731413582,0.6258601175336677,0.6131740356108712,0.9128460950227553
1,CNN,8,0.9116738070320609,0.6263705386046761,0.6136712714392236,0.9124007870585203
1,CNN,9,0.9114460180926797,0.6258972112942175,0.6132741442426076,0.9137033703839437
1,CNN,10,0.9110116149416033,0.6255927138972702,0.6129148445337103,0.9134800544859915
1,CNN,11,0.9107719318756204,0.6253831165236574,0.6126302363020703,0.9128967077384155
