window,model,epoch,train_loss,validation_mean_daily_macro_auc,validation_mean_daily_extreme_auc,validation_log_loss
1,CNN+Transformer,1,0.9247994506935029,0.6096749084361375,0.5986565355533653,0.9228446576966856
1,CNN+Transformer,2,0.9168535218895231,0.6160629202724308,0.604433243657775,0.9170132246994752
1,CNN+Transformer,3,0.9138743446253531,0.6198638272871492,0.6078899285334829,0.9153769665040243
1,CNN+Transformer,4,0.9124064748844195,0.6218286827244734,0.6095973520277963,0.9132616313690389
1,CNN+Transformer,5,0.9113991662100559,0.6217228840356901,0.6095841170664382,0.9139148972406609
1,CNN+Transformer,6,0.9108653057497278,0.6215050311913377,0.6093637377192777,0.9141753605192466
1,CNN+Transformer,7,0.9102728655210479,0.6225580976231047,0.6103215249813752,0.9142934291208704
1,CNN+Transformer,8,0.9096952512672924,0.6231673955650724,0.6108325288413083,0.913203463994327
1,CNN+Transformer,9,0.9092921734960722,0.6243741462592857,0.6117369349886435,0.9128789403916256
1,CNN+Transformer,10,0.9089068671790753,0.6234309051359037,0.6110335334195269,0.9131569233904971
1,CNN+Transformer,11,0.9083355709782189,0.6239055063267834,0.6114990875766432,0.9159517642326693
1,CNN+Transformer,12,0.9078368340242311,0.6243380298788557,0.6118066704043441,0.9141855466807195
1,CNN+Transformer,13,0.9074858944988818,0.6235554508056192,0.6111884792491218,0.9181299866334386
1,CNN+Transformer,14,0.9069945171209142,0.6236308168016237,0.6109854398371057,0.9139113403364579
