window,model,epoch,train_loss,validation_mean_daily_macro_auc,validation_mean_daily_extreme_auc,validation_log_loss
1,FCNN,1,0.9252149395245263,0.6144857105401257,0.602978932246631,0.9165615024543897
1,FCNN,2,0.9178308235896809,0.6196097224951661,0.6077204182777448,0.9179724035298538
1,FCNN,3,0.9150367714489319,0.6239012774509766,0.611557883912312,0.9131626959313288
1,FCNN,4,0.9131742642069399,0.6246426687659228,0.6122232750659363,0.9150310324914384
1,FCNN,5,0.911787301124444,0.6248200609824615,0.6123267370383066,0.9150122510360938
1,FCNN,6,0.9106930949923063,0.626147119004236,0.6134624672143345,0.9125867796172534
1,FCNN,7,0.9100310155526444,0.6271094544988406,0.6143507969120736,0.9148811298592633
1,FCNN,8,0.9093911338136498,0.6250859958007704,0.6124816666806709,0.9136447748133357
1,FCNN,9,0.9087108714859822,0.6266631961312592,0.6136846894653095,0.9126509075437191
1,FCNN,10,0.90825595148031,0.625798841420165,0.6129505894192059,0.9127985853225208
1,FCNN,11,0.907470126920469,0.6259983754237216,0.6131010102992793,0.9138303205729391
1,FCNN,12,0.9067852516429934,0.6248415921319428,0.6118053554111489,0.9146205590492805
1,CNN,1,0.9269545255000823,0.6124159295305842,0.601103626987939,0.9186732504456263
1,CNN,2,0.9173425493612738,0.6170227778231342,0.6052425365643342,0.915864497873042
1,CNN,3,0.9146004001641416,0.6210869633006993,0.6088762317574846,0.9153844610005772
1,CNN,4,0.9129714568193033,0.6228159243393024,0.6105275013461059,0.9138675766191735
1,CNN,5,0.9120378364087098,0.6238402578582957,0.6113409907120383,0.9130707719037733
1,CNN,6,0.9115575094005274,0.624031992536331,0.6115245557626006,0.9129639924808219
1,CNN,7,0.9110017992817433,0.6240542281283574,0.6116259072174951,0.9155629175027302
1,CNN,8,0.9107962476347236,0.6262954696186231,0.6135899363699571,0.9120635010143588
1,CNN,9,0.9103444911327526,0.625952960086777,0.6132427958462858,0.911771526317047
1,CNN,10,0.9100867535482567,0.6258280593053345,0.6131973024907986,0.9122222223146877
1,CNN,11,0.9098192180804587,0.6270871511701955,0.6142600962187196,0.9115996897971506
1,CNN,12,0.909683472860893,0.6257244189464003,0.6130486256814854,0.9123846614992203
1,CNN,13,0.9092852268133789,0.6256502138963141,0.6128380645735679,0.9130963462129639
1,CNN,14,0.9090895429105651,0.6258984013871163,0.6131382135597364,0.9125798457749936
1,CNN,15,0.9089119200040614,0.6263913347004084,0.6135831071447589,0.9121795478326359
1,CNN,16,0.9086100666590828,0.6250351712573426,0.6123038666629441,0.9125253572121363
1,GRU,1,0.9307548768231602,0.6135964053516271,0.6020093245610506,0.9187747313744183
1,GRU,2,0.9160646480649296,0.6213276332627643,0.6090774935505465,0.916742826822077
1,GRU,3,0.9131484924366268,0.6246362788612337,0.6121043050265499,0.9131850593191744
1,GRU,4,0.9117851441936884,0.6261882802667037,0.6134390857738902,0.91157378827462
1,GRU,5,0.910896992580848,0.6264874319494425,0.6136983680226612,0.9116776360723727
1,GRU,6,0.9100947114981065,0.6265213564420965,0.6136523587539902,0.9119674072418483
1,GRU,7,0.909465526840215,0.6266515227921813,0.6138605126944084,0.911595551743424
1,GRU,8,0.9090624378265567,0.6274639612474052,0.6146274490094225,0.9112774168475218
1,GRU,9,0.9085212822468528,0.6283439111386252,0.6152881630647994,0.9112330234057489
1,GRU,10,0.9081724108172757,0.6290909733829264,0.6160359484843524,0.9104501359046012
1,GRU,11,0.9078613856941719,0.6289139456382458,0.615815030554746,0.9108034941714049
1,GRU,12,0.9075116420880917,0.6290644570386807,0.6158625716379826,0.9104708277207737
1,GRU,13,0.9070226729192298,0.6291061718324017,0.6159709399761429,0.911087746429907
1,GRU,14,0.9067073050987476,0.6288270715088952,0.615629476946241,0.9108591151849367
1,GRU,15,0.9062813888078963,0.6292689278954811,0.6160817285577648,0.9111799157639477
1,GRU,16,0.9060014417674824,0.6287610649903832,0.6155897612237965,0.9111947145017042
1,GRU,17,0.9056957246529828,0.6290364679240088,0.6158902702896184,0.913873881461218
1,GRU,18,0.9053015685649521,0.6283018279511525,0.615230203665109,0.912070705648004
1,GRU,19,0.9048393619604888,0.6281672725121331,0.614892901518386,0.9111785894158608
1,GRU,20,0.9044848024884571,0.6277784868865586,0.6144492120507475,0.9128695703752122
1,Transformer,1,0.9258255949089813,0.6124195598924091,0.6009617426505639,0.9198300843788616
1,Transformer,2,0.9163622571331709,0.6204641974153291,0.6083724939828484,0.9147518686434543
1,Transformer,3,0.9133372319446819,0.6201765034591455,0.6081284156321235,0.9153107351948874
1,Transformer,4,0.9117544937181126,0.6269166018061194,0.6142140927622173,0.9109247291062263
1,Transformer,5,0.9107938134299455,0.6274278861745536,0.6147101215296562,0.9116807545075449
1,Transformer,6,0.9099478180403744,0.6287872197992004,0.6157825858736007,0.9102052585068672
1,Transformer,7,0.9093753163345912,0.6293438172826619,0.6163907800660092,0.9107235024029846
1,Transformer,8,0.9087962215109269,0.6288098355191576,0.6158257129732932,0.9106970781151988
1,Transformer,9,0.9083132221160702,0.6308177837889157,0.6176703315912186,0.9121752905378654
1,Transformer,10,0.9080468097086539,0.6298989685217661,0.6166790741653916,0.91026731711842
1,Transformer,11,0.9075688247172585,0.6309132866517345,0.6176068568819552,0.9095457665001218
1,Transformer,12,0.9072540652112879,0.6294585765427302,0.6164254593474663,0.9099669840476285
1,Transformer,13,0.9067553768561898,0.6296607626048105,0.6164007929519999,0.9103645413434442
1,Transformer,14,0.906478777813801,0.6304073551350304,0.6172336626259776,0.9099581921654334
1,Transformer,15,0.9061059497745522,0.6290996341853609,0.6159600448398738,0.9107076512697607
1,Transformer,16,0.9057089084430218,0.6296638493600378,0.6164857929871567,0.9111833769580004
1,CNN+GRU,1,0.9275756445174025,0.6156056392532002,0.6039777262144735,0.9184108446605787
1,CNN+GRU,2,0.9153424383472086,0.6229273216143517,0.6104038822729932,0.913347197321395
1,CNN+GRU,3,0.9123535351907868,0.6263143026466291,0.6135673922780022,0.9114118239270247
1,CNN+GRU,4,0.9109622815994929,0.6271130885993736,0.6143269327931672,0.9116668188523976
1,CNN+GRU,5,0.9099988383934404,0.6275167759287789,0.6146479347849167,0.9114059509040298
1,CNN+GRU,6,0.909582260150455,0.6264339857286085,0.6137299281951317,0.9134390377052366
