window,model,epoch,train_loss,validation_mean_daily_macro_auc,validation_mean_daily_extreme_auc,validation_log_loss
5,FCNN,1,0.9241181227175226,0.6144351530396359,0.6028006390242573,0.919740088064831
5,FCNN,2,0.9155192177423833,0.6207734689642532,0.6080864398960164,0.9140851885529999
5,FCNN,3,0.9110714773033816,0.6188010576902593,0.6035924258999323,0.9190359747396304
5,FCNN,4,0.9077298312133404,0.6225772446702977,0.6087420126840055,0.9175760817544641
5,FCNN,5,0.9048293649003295,0.6176065949655936,0.600820940696813,0.9237326563881371
5,FCNN,6,0.9014707509460399,0.6177201369529743,0.6010610788782615,0.9199832187916723
5,FCNN,7,0.8985414435789137,0.616300378340877,0.5989141571614199,0.9250986588366767
5,FCNN,8,0.8946146126923058,0.617067778716956,0.6007594117692541,0.922218353617293
5,FCNN,9,0.8913084506276592,0.6198756279058578,0.6047720011324886,0.9233021449043864
5,CNN,1,0.9262255949932926,0.6144064950824096,0.6027841331568184,0.9171535245363588
5,CNN,2,0.9154513625412013,0.6193239261218474,0.6070353453506537,0.914365139195373
5,CNN,3,0.9119395981502596,0.6228637433811216,0.6100811460515201,0.9143342968542857
5,CNN,4,0.9100285953216072,0.6231967491716148,0.6100889416034846,0.9153441952571217
5,CNN,5,0.9084966744740594,0.6242781230070974,0.6109674119364904,0.9143923174039822
5,CNN,6,0.9074184329761285,0.6241970790282189,0.6108822311412786,0.9150855705268163
5,CNN,7,0.9065238808905279,0.6237313506202574,0.6102336807644104,0.91572472709685
5,CNN,8,0.9056150996692939,0.6231136982744396,0.6090069320058338,0.915723188315434
5,CNN,9,0.9048095410362172,0.6215736922408805,0.6075687281959294,0.9156244752727805
5,CNN,10,0.9038368890676264,0.6231031163309442,0.6091279326395592,0.9162251466076801
5,GRU,1,0.9281269541701183,0.6169628869527997,0.6050209120297324,0.9161576719174553
5,GRU,2,0.9134939087489304,0.6224539529427168,0.6100457537500945,0.9137149737831965
5,GRU,3,0.9104123052256583,0.6223257465459232,0.6097160404796852,0.9138374337065552
5,GRU,4,0.9084666647021946,0.62435176536875,0.611039352971458,0.9142633834107733
5,GRU,5,0.9068017010271114,0.6239646025626082,0.6102525579449825,0.9143484315297816
5,GRU,6,0.9050433720352639,0.6242568184858746,0.6107664290278804,0.9137630648841696
5,GRU,7,0.9036200972052703,0.6233894131658024,0.609891542552897,0.9154561720492621
5,GRU,8,0.9017260888197126,0.6203242227390353,0.6051287109401978,0.9201575171688113
5,GRU,9,0.8997964889068198,0.619948297002242,0.6047842020408463,0.9181156829701982
5,Transformer,1,0.9227041014789665,0.6153338724870817,0.6035232870260758,0.9174572623334069
5,Transformer,2,0.9139853772455758,0.6237196984111869,0.6110696299812338,0.9133910814519114
5,Transformer,3,0.9109194017279283,0.625645878279992,0.6130059768130307,0.9127595076966972
5,Transformer,4,0.9086291667397796,0.6257267356503655,0.6130171564879041,0.9126230149954844
5,Transformer,5,0.9071244480757027,0.6250410624282635,0.6116988947928804,0.9130811791446523
5,Transformer,6,0.9054371152955646,0.623724388390375,0.6099078627889586,0.9146140919663974
5,Transformer,7,0.9039299565984781,0.6236460039973013,0.6097540020026708,0.9160143826856494
5,Transformer,8,0.9023244810879586,0.6215750526133138,0.6074246811065008,0.9160542885386601
5,Transformer,9,0.9002902414835124,0.62071370095561,0.6062739280582604,0.9173124552725598
5,CNN+GRU,1,0.9261381646696115,0.6155908320770886,0.6036860649713184,0.9166108029468789
5,CNN+GRU,2,0.9134064573441109,0.6218703986347125,0.609156571687965,0.9146548625155986
5,CNN+GRU,3,0.9095611248731454,0.6246102744493268,0.6114676586284066,0.914133039826766
5,CNN+GRU,4,0.9074802000394465,0.6243247462402203,0.6109535531798406,0.9139059692664587
5,CNN+GRU,5,0.9057297040550774,0.6246052123147318,0.6108391361229389,0.9148988778224721
5,CNN+GRU,6,0.9044099667646589,0.6225105269618281,0.6082250549358215,0.9164308163465633
5,CNN+GRU,7,0.9029323706661698,0.6164070503396119,0.5989171973012619,0.9224234927417263
5,CNN+GRU,8,0.901506765243148,0.6234800257124913,0.609200994548938,0.9156132282663881
5,CNN+Transformer,1,0.9220625428308615,0.6196599081283622,0.6074643181180825,0.9151314807692726
5,CNN+Transformer,2,0.913286459034614,0.6233037111852103,0.6106560671900684,0.9143267372088809
5,CNN+Transformer,3,0.9101429012886483,0.6245970534291966,0.6117678298151503,0.913218451735295
5,CNN+Transformer,4,0.9078750851222357,0.6252251948804428,0.6119257244122658,0.9130145719388846
5,CNN+Transformer,5,0.9061798007581593,0.6269053451461978,0.613555649054625,0.9129998967504493
5,CNN+Transformer,6,0.9044052368770313,0.6243347492547568,0.6106611181353648,0.912784760312824
5,CNN+Transformer,7,0.9028048595610089,0.6235195503305923,0.6088363571847151,0.9140485352406059
5,CNN+Transformer,8,0.9006694312434206,0.6224368524166076,0.6071440081744918,0.9197646243389568
5,CNN+Transformer,9,0.8984100635113428,0.6211192016961672,0.6066651808240324,0.9185074041864785
5,CNN+Transformer,10,0.8957519334677283,0.6174271819516021,0.6018979211161013,0.9220215253453496
