window,model,epoch,train_total_loss,train_multiclass_loss,train_directional_loss,validation_mean_daily_directional_auc,validation_mean_daily_rank_ic,validation_mean_daily_macro_auc,validation_mean_daily_extreme_auc,validation_log_loss
1,FCNN,1,1.777505376652958,1.0805166800396084,0.6969886977967642,0.5007754896689669,0.0018682760372168063,0.6114862833503453,0.6003151070232198,1.0637722170527792
1,FCNN,2,1.766512338725405,1.0729170143012572,0.693595324463595,0.4994890337433744,-0.0016079733982088734,0.6158634939680121,0.6042236129894447,1.0664498957024802
1,FCNN,3,1.7637864520106388,1.0703247555196878,0.6934616973587885,0.4980931634163417,-0.0037195970365025317,0.6213873565845636,0.6091175048104133,1.0631864005341525
1,FCNN,4,1.7614255641802188,1.0681447500743904,0.6932808131196497,0.5000879246924692,0.0009836846593063448,0.6230902837070905,0.6106023798212483,1.0548259508704827
1,FCNN,5,1.759316762972162,1.0666200433007775,0.6926967194741487,0.5051033363536354,0.008824648205857506,0.6240714975330192,0.6112312007969093,1.0579630142509926
1,FCNN,6,1.7578995449506707,1.0653030607260117,0.6925964841457647,0.49540196983698365,-0.0059326350255407825,0.6244117289957699,0.6115176158424358,1.0597361180956524
1,FCNN,7,1.757002814253145,1.0646265621693383,0.6923762540167172,0.5039176678467846,0.005327343702194744,0.6258588153542092,0.6128083889311702,1.0479382909155626
1,FCNN,8,1.755171072396279,1.063669746400188,0.6915013263511153,0.5008907386538655,0.0013371391509748433,0.6234320071378481,0.6095928406528087,1.0557187251916806
1,FCNN,9,1.7530892304755614,1.0626816138141917,0.6904076164049632,0.49913200090009,-0.00015416994882236622,0.6217316448102286,0.6066834150300897,1.0585438954049673
1,FCNN,10,1.7518413660149161,1.0619907359032343,0.6898506288888201,0.5007517468346835,-0.0011339991012198798,0.6236037638930613,0.6092291798793238,1.0568209269234137
1,CNN,1,1.7776638658373345,1.0810198928251082,0.6966439714737872,0.5039978181818182,0.006721887290814667,0.6095459807808945,0.5983576727323098,1.060078008213265
1,CNN,2,1.7659442648045043,1.0722195177501121,0.6937247458315305,0.49715153289328934,-0.004601652405300722,0.6136172212334263,0.6021109811423273,1.0720056182905455
1,CNN,3,1.7631793923917627,1.0697347868522376,0.6934446074329884,0.4958073687768777,-0.005345213253024886,0.6178107918206054,0.6059263125170158,1.056042174586825
1,CNN,4,1.761290559225884,1.0679302912212854,0.6933602685568586,0.4987322219821982,0.002573394688559335,0.6206928587019839,0.6085364533556963,1.0672451265527836
1,CNN,5,1.7598634252952157,1.066678863420619,0.693184560138922,0.494893501730173,-0.005947281506342336,0.6223969501112485,0.609977026696579,1.058406744063533
1,CNN,6,1.7591361759673043,1.0659495256027585,0.6931866492994726,0.4955449735573558,-0.003289325342399585,0.6225483929959446,0.6100039405999157,1.0615910169527991
1,GRU,1,1.783166561041503,1.0857635876897311,0.6974029730361948,0.49699917085708567,-0.005568409790687206,0.6056428846974368,0.5945519852345662,1.0633713611262317
1,GRU,2,1.7670311523067643,1.0731346680579952,0.6938964827497774,0.4994557585958596,-0.000883964155046602,0.6152407338243545,0.6034828165233971,1.0537359396382735
1,GRU,3,1.7626252861546807,1.069121098928622,0.6935041867132459,0.4959826560656066,-0.0046320898005417985,0.6214783279081675,0.609051628070213,1.0566979699302879
1,GRU,4,1.759965757594686,1.0667398025625041,0.6932259538882146,0.5000049375537553,9.343825841697928e-05,0.6237205999796319,0.6107539309167566,1.0552561490067438
1,GRU,5,1.7583847388299707,1.0653413643827507,0.6930433741316426,0.5021061824582458,0.004016540342134252,0.6248687629872177,0.6118191384209581,1.0543293504647502
1,GRU,6,1.7570951885138815,1.0642999417335288,0.6927952490288402,0.50477240470047,0.006830050702502024,0.6239950398790238,0.6102790306094693,1.0550426052310886
1,GRU,7,1.7558855948899457,1.0634567318650605,0.6924288646027712,0.5011182891489149,0.0016835026276867033,0.624937506875016,0.6116849926702659,1.0414967251908893
1,GRU,8,1.755309714220124,1.0630550617654144,0.692254652573051,0.5018587065906591,0.00335002940116783,0.6259302087897164,0.6127819279858174,1.0486323491607434
1,GRU,9,1.754246770586106,1.0623966690564612,0.6918501016479861,0.5013891324532453,0.00247926634648387,0.6257477822738042,0.6118331429021225,1.0482681322640017
1,GRU,10,1.753995001907778,1.062124628881837,0.6918703728287051,0.5011587619161916,0.0017886500614737422,0.6272037823396397,0.6135428571103125,1.042338130643189
1,GRU,11,1.7532940624093156,1.0617154456778601,0.6915786179543173,0.4993526796879688,-4.903955326066978e-05,0.6264734833840413,0.6123453259433994,1.04844612204748
1,Transformer,1,1.7778255537122705,1.0806109550218563,0.6972145969941866,0.5007236687668767,0.0031527887788188966,0.6093318397241744,0.5980399977345237,1.0549911422149942
1,Transformer,2,1.7653820835778762,1.0714927377644001,0.6938893454584517,0.499669397759776,0.0017917522489530326,0.6181090968697881,0.6061644876514249,1.0652974834504285
1,Transformer,3,1.7621098247132974,1.0685984623660953,0.693511361794942,0.5030325492349236,0.0059957127539602105,0.6195866591295146,0.607472283135969,1.0681373899029374
