window,model,best_epoch,best_iteration,n_observations,n_dates,n_directional_auc_dates,n_rank_ic_dates,accuracy,balanced_accuracy,macro_f1,mean_daily_directional_auc,mean_daily_rank_ic,mean_daily_macro_auc,mean_daily_extreme_auc,mean_daily_bottom_auc,mean_daily_middle_auc,mean_daily_top_auc,pooled_macro_auc,log_loss,validation_model_path
1,CNN+GRU,6.0,,250000,500,500,500,0.496888,0.4080560077599735,0.40378076699013365,0.5071512446844684,0.008170741608573912,0.6259874199385184,0.6126973150063335,0.6169010173833213,0.6525676298028878,0.6084936126293456,0.6262216307290182,1.0580684267416944,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/a2f95b346ee9/validation_best_1d.pt
3,CNN+GRU,8.0,,249000,498,498,498,0.49024899598393573,0.4078552771664754,0.40329179154735795,0.5111115167741673,0.014098582375451798,0.6154956126735122,0.596565742176621,0.5974940847548486,0.6533553536672945,0.5956373995983936,0.6160247826938626,1.0444370061765926,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/a2f95b346ee9/validation_best_3d.pt
5,FCNN,8.0,,248000,496,496,496,0.4495806451612903,0.40251428996318345,0.38355033967908786,0.5155897686542847,0.021488585174026475,0.5980057534000816,0.5731526863044105,0.5890284572862403,0.6477118875914241,0.5572769153225807,0.5958467095876375,1.0642052706833725,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/a2f95b346ee9/validation_best_5d.pt
10,FCNN,15.0,,245500,491,491,491,0.3969938900203666,0.39322585878451927,0.3663931974023475,0.5217239605834311,0.026177582173389342,0.5789122883157868,0.5487628975761546,0.5528862839506801,0.6392110697950512,0.5446395112016293,0.57889312203194,1.134727654334205,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/a2f95b346ee9/validation_best_10d.pt
20,CNN,9.0,,240500,481,481,481,0.4048274428274428,0.39773460517646564,0.3721287458863642,0.5311936411936412,0.04075042793576312,0.5805195894291025,0.55153485127285,0.5803667399677375,0.6384890657416075,0.5227029625779626,0.5798349198993707,1.1444772453043826,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/a2f95b346ee9/validation_best_20d.pt
60,FCNN,3.0,,220500,441,441,441,0.3980952380952381,0.3976732348102912,0.3691844643349274,0.5236091069424403,0.037262173538490075,0.5810926928559934,0.5468317171776432,0.5395882359425882,0.6496146442126938,0.5540751984126984,0.5806470086997275,1.1804294376149214,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/a2f95b346ee9/validation_best_60d.pt
