window,model,best_epoch,best_iteration,n_observations,n_dates,accuracy,balanced_accuracy,macro_f1,mean_daily_macro_auc,mean_daily_extreme_auc,mean_daily_bottom_auc,mean_daily_middle_auc,mean_daily_top_auc,pooled_macro_auc,log_loss,validation_model_path
1,CNN+Transformer,6.0,,249992,500,0.6063754040129284,0.3589077913928547,0.3098652224086208,0.6323676492059154,0.6191379714569288,0.6228181612300691,0.6588270047038886,0.6154577816837886,0.6325930211744103,0.9082207696305424,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/1ac42d8d4f01/validation_best_1d.pt
3,CNN+Transformer,4.0,,248992,498,0.6063126526153451,0.3588687073182544,0.3078822475884366,0.6313285556046169,0.6179848295266439,0.6193253270049608,0.6580160077605628,0.6166443320483269,0.6316258099619037,0.9086196558989826,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/1ac42d8d4f01/validation_best_3d.pt
5,CNN+Transformer,5.0,,247992,496,0.6018298977386367,0.37267822574265114,0.34440010901015344,0.6284972198344391,0.6139746925632523,0.6183632973432021,0.6575422743768128,0.6095860877833024,0.6286210642890404,0.9144071510877131,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/1ac42d8d4f01/validation_best_5d.pt
10,CNN+Transformer,2.0,,245493,491,0.6029377619728464,0.36240270681679965,0.3233283030437921,0.6232616950704015,0.6100948974448652,0.6158786180825333,0.6495952903214737,0.6043111768071973,0.6232184060409669,0.9155384970193595,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/1ac42d8d4f01/validation_best_10d.pt
20,CNN+Transformer,1.0,,240493,481,0.5994810659769723,0.363423480407576,0.31962237462854254,0.6207974121518053,0.6060917632723538,0.612175295503582,0.6502087099107083,0.6000082310411258,0.6204422718965811,0.9204848613066557,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/1ac42d8d4f01/validation_best_20d.pt
60,CNN+GRU,1.0,,220493,441,0.6018558412285198,0.3667136772527339,0.33010574508303886,0.6249833937677204,0.6068123648491394,0.6211658314218725,0.6613254516048822,0.5924588982764063,0.6253869571726531,0.9202342526955605,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/1ac42d8d4f01/validation_best_60d.pt
