window,model,best_epoch,best_iteration,n_observations,n_dates,accuracy,balanced_accuracy,macro_f1,mean_daily_macro_auc,mean_daily_extreme_auc,mean_daily_bottom_auc,mean_daily_middle_auc,mean_daily_top_auc,pooled_macro_auc,log_loss,validation_model_path
1,Transformer,11.0,,250000,500,0.60648,0.3619394348226784,0.3155184548474137,0.6309132866517345,0.6176068568819552,0.6216410949867698,0.657526146191293,0.6135726187771409,0.631022166786975,0.9095457665001218,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/162266b43bbe/validation_best_1d.pt
3,CNN+Transformer,6.0,,249000,498,0.60585140562249,0.36260073258345416,0.3217068954994992,0.6285711885773847,0.6154107862550481,0.6195461207028675,0.6548919932220576,0.6112754518072289,0.628793584088505,0.9101695229379079,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/162266b43bbe/validation_best_3d.pt
5,CNN+Transformer,5.0,,248000,496,0.6043790322580646,0.3656382408192236,0.32784293556248884,0.6269053451461978,0.613555649054625,0.6177536872221531,0.6536047373293431,0.6093576108870968,0.6269513449067232,0.9129998967504493,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/162266b43bbe/validation_best_5d.pt
10,Transformer,2.0,,245500,491,0.6014786150712831,0.3677895085577556,0.3274492766835069,0.6240534977488961,0.6114211522870497,0.6165995347166655,0.6493181886725886,0.6062427698574339,0.62385078518839,0.9172534570525543,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/162266b43bbe/validation_best_10d.pt
20,GRU,1.0,,240500,481,0.5983451143451144,0.3613045389789576,0.3167028646259086,0.6187543698024988,0.6051323299866318,0.6118969884555919,0.645998449434233,0.5983676715176716,0.6184781246793448,0.9197671335508925,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/162266b43bbe/validation_best_20d.pt
60,CNN+GRU,1.0,,220500,441,0.6007392290249433,0.37154346187990656,0.3390445924254733,0.6180525218259834,0.5973431059899925,0.6039903219573092,0.6594713534979649,0.5906958900226758,0.6181027529476987,0.9263404966376894,/content/drive/MyDrive/alpha_ml/models/02_cross_sectional/162266b43bbe/validation_best_60d.pt
